timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1728163399469,231,Requisição GET users,200,OK,Grupo de Usuários 1-92,text,true,,1941,127,28,28,https://reqres.in/api/users?page=2,231,0,147
1728163399436,264,Requisição GET users,200,OK,Grupo de Usuários 1-3,text,true,,1941,127,28,28,https://reqres.in/api/users?page=2,264,0,173
1728163399475,225,Requisição GET users,200,OK,Grupo de Usuários 1-100,text,true,,1941,127,28,28,https://reqres.in/api/users?page=2,225,0,140
1728163399446,254,Requisição GET users,200,OK,Grupo de Usuários 1-19,text,true,,1941,127,28,28,https://reqres.in/api/users?page=2,254,0,153
1728163399471,229,Requisição GET users,200,OK,Grupo de Usuários 1-94,text,true,,1941,127,26,26,https://reqres.in/api/users?page=2,229,0,145
1728163399455,246,Requisição GET users,200,OK,Grupo de Usuários 1-57,text,true,,1941,127,23,23,https://reqres.in/api/users?page=2,246,0,153
1728163399468,241,Requisição GET users,200,OK,Grupo de Usuários 1-81,text,true,,1941,127,22,22,https://reqres.in/api/users?page=2,241,0,136
1728163399471,239,Requisição GET users,200,OK,Grupo de Usuários 1-93,text,true,,1941,127,22,22,https://reqres.in/api/users?page=2,238,0,147
1728163399469,240,Requisição GET users,200,OK,Grupo de Usuários 1-90,text,true,,1941,127,22,22,https://reqres.in/api/users?page=2,240,0,149
1728163399469,241,Requisição GET users,200,OK,Grupo de Usuários 1-85,text,true,,1941,127,22,22,https://reqres.in/api/users?page=2,241,0,146
1728163399463,247,Requisição GET users,200,OK,Grupo de Usuários 1-67,text,true,,1941,127,22,22,https://reqres.in/api/users?page=2,247,0,158
1728163399475,235,Requisição GET users,200,OK,Grupo de Usuários 1-97,text,true,,1941,127,17,17,https://reqres.in/api/users?page=2,235,0,144
1728163399468,242,Requisição GET users,200,OK,Grupo de Usuários 1-78,text,true,,1941,127,16,16,https://reqres.in/api/users?page=2,242,0,149
1728163399455,256,Requisição GET users,200,OK,Grupo de Usuários 1-55,text,true,,1941,127,15,15,https://reqres.in/api/users?page=2,256,0,141
1728163399475,237,Requisição GET users,200,OK,Grupo de Usuários 1-99,text,true,,1941,127,14,14,https://reqres.in/api/users?page=2,237,0,144
1728163399468,245,Requisição GET users,200,OK,Grupo de Usuários 1-83,text,true,,1941,127,13,13,https://reqres.in/api/users?page=2,245,0,146
1728163399460,253,Requisição GET users,200,OK,Grupo de Usuários 1-63,text,true,,1941,127,12,12,https://reqres.in/api/users?page=2,252,0,143
1728163399449,264,Requisição GET users,200,OK,Grupo de Usuários 1-39,text,true,,1941,127,11,11,https://reqres.in/api/users?page=2,264,0,142
1728163399437,276,Requisição GET users,200,OK,Grupo de Usuários 1-10,text,true,,1941,127,11,11,https://reqres.in/api/users?page=2,276,0,170
1728163399469,244,Requisição GET users,200,OK,Grupo de Usuários 1-88,text,true,,1941,127,10,10,https://reqres.in/api/users?page=2,244,0,148
1728163399460,253,Requisição GET users,200,OK,Grupo de Usuários 1-62,text,true,,1941,127,9,9,https://reqres.in/api/users?page=2,253,0,142
1728163399469,244,Requisição GET users,200,OK,Grupo de Usuários 1-91,text,true,,1941,127,8,8,https://reqres.in/api/users?page=2,244,0,147
1728163399436,278,Requisição GET users,200,OK,Grupo de Usuários 1-4,text,true,,1941,127,7,7,https://reqres.in/api/users?page=2,278,0,141
1728163399467,247,Requisição GET users,200,OK,Grupo de Usuários 1-73,text,true,,1941,127,6,6,https://reqres.in/api/users?page=2,247,0,138
1728163399467,247,Requisição GET users,200,OK,Grupo de Usuários 1-72,text,true,,1941,127,5,5,https://reqres.in/api/users?page=2,247,0,146
1728163399475,240,Requisição GET users,200,OK,Grupo de Usuários 1-98,text,true,,1941,127,3,3,https://reqres.in/api/users?page=2,240,0,143
1728163399469,247,Requisição GET users,200,OK,Grupo de Usuários 1-89,text,true,,1941,127,2,2,https://reqres.in/api/users?page=2,247,0,149
1728163399471,246,Requisição GET users,200,OK,Grupo de Usuários 1-95,text,true,,1941,127,1,1,https://reqres.in/api/users?page=2,246,0,143
